Jahr;Land;ISO 3166;Region;Konfliktstufe;;;;;;;
2003;Sudan;SDN;Sub-Sahara Afrika;4;;;;;;;
2004;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2005;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2006;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2007;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2008;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2009;Sudan;SDN;Sub-Sahara Afrika;4;;;;;;;
2010;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2011;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2012;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
2013;Sudan;SDN;Sub-Sahara Afrika;5;;;;;;;
1999;Südkorea;KOR;Asien/Ozenanien;4;;;;;;;
2011;Südsudan;SSD;Sub-Sahara Afrika;4;;;;;;;
2012;Südsudan;SSD;Sub-Sahara Afrika;5;;;;;;;
2013;Südsudan;SSD;Sub-Sahara Afrika;5;;;;;;;
2011;Syrien;SYR;MENA;5;;;;;;;
2012;Syrien;SYR;MENA;5;;;;;;;
2013;Syrien;SYR;MENA;5;;;;;;;
1998;Tadschikistan;TJK;Asien/Ozenanien;4;;;;;;;
2012;Tadschikistan;TJK;Asien/Ozenanien;4;;;;;;;
2004;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2006;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2007;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2008;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2009;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2010;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2011;Thailand;THA;Asien/Ozenanien;4;;;;;;;
2000;Tschad;TCD;Sub-Sahara Afrika;4;;;;;;;
2001;Tschad;TCD;Sub-Sahara Afrika;4;;;;;;;
2006;Tschad;TCD;Sub-Sahara Afrika;4;;;;;;;
